사건번호,용도,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기
광주 11계 2024-6982,아파트,광주,동구,광주 동구 산수동 79-3 무등파크맨션 9층 1002호,"169,000,000","118,300,000",낙찰,"129,000,000",76.3%,2026-03-03,2026_1Q
광주 12계 2024-6999,단독주택,광주,동구,광주 동구 산수동 547-72,"971,470,640","544,024,000",낙찰,"583,000,000",60.0%,2026-01-23,2026_1Q
광주 1계 2024-7107,아파트형공장,광주,광산구,광주 광산구 오선동 270-106 지식산업센터케이비아이하남 3층 비-305호,"330,000,000","118,272,000",낙찰,"123,000,000",37.3%,2026-02-11,2026_1Q
광주 3계 2024-7121(1),의료시설,광주,남구,광주 남구 행암동 711 2층 201호,"684,000,000","156,894,000",낙찰,"156,894,000",22.9%,2026-01-22,2026_1Q
광주 3계 2024-7121(2),의료시설,광주,남구,광주 남구 행암동 711 2층 202호,"255,000,000","58,492,000",낙찰,"58,492,000",22.9%,2026-01-22,2026_1Q
광주 3계 2024-7121(3),의료시설,광주,남구,광주 남구 행암동 711 2층 203호,"1,050,000,000","240,845,000",낙찰,"240,845,000",22.9%,2026-01-22,2026_1Q
광주 3계 2024-7121(4),의료시설,광주,남구,광주 남구 행암동 711 2층 204호,"167,000,000","38,307,000",낙찰,"38,307,000",22.9%,2026-01-22,2026_1Q
광주 3계 2024-7121(5),의료시설,광주,남구,광주 남구 행암동 711 2층 205호,"172,000,000","39,453,000",낙찰,"39,453,000",22.9%,2026-01-22,2026_1Q
광주 3계 2024-7121(6),근린상가,광주,남구,광주 남구 행암동 711 2층 206호,"42,000,000","9,635,000",낙찰,"9,700,000",23.1%,2026-01-22,2026_1Q
광주 8계 2024-7206,오피스텔(주거),광주,서구,광주 서구 농성동 417-10 센트럴광천더퍼스트 1동 19층 1917호,"155,000,000","86,800,000",진행,0,0%,2026-03-12,2026_1Q
광주 10계 2024-7312,근린상가,광주,서구,"광주 서구 치평동 897-7 ,897-8,897-9","12,001,510,500","6,720,846,000",낙찰,"7,101,100,000",59.2%,2026-01-09,2026_1Q
광주 11계 2024-7442,아파트,광주,광산구,"광주 광산구 장덕동 1593 ,1594 광주수완현진에버빌2단지 202동 2층 203호","497,000,000","347,900,000",낙찰,"452,278,800",91.0%,2026-03-03,2026_1Q
광주 12계 2024-7459,공장,광주,북구,광주 북구 월출동 970-65 가동,"3,201,780,960","2,241,247,000",낙찰,"3,250,000,000",101.5%,2026-01-23,2026_1Q
광주 2계 2024-7466,아파트,광주,북구,광주 북구 양산동 18-3 호반리젠시빌 203동 16층 1606호,"270,000,000","77,415,000",낙찰,"147,000,000",54.4%,2026-01-08,2026_1Q
광주 12계 2024-7619(1),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 4층 402호","331,000,000","231,700,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(2),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 4층 403호","331,000,000","231,700,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(3),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 5층 502호","331,000,000","231,700,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(4),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 5층 503호","331,000,000","231,700,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(5),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 5층 516호","328,000,000","229,600,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(6),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 7층 702호","335,000,000","234,500,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(7),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 8층 802호","335,000,000","234,500,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-7619(8),오피스텔,광주,동구,"광주 동구 금남로4가 79-1 ,충장로4가 7-3,7-14 로머스파크주건축물 14층 1403호","338,000,000","236,600,000",유찰,0,0%,2026-01-23,2026_1Q
광주 11계 2024-7695,아파트,광주,남구,"광주 남구 봉선동 127-15 ,132-4,132-5,132-6,132-9,132-12,132-14,132-18,148,152-2,156-15,921-37 무등파크 203동 8층 807호","275,000,000","154,000,000",예정,0,0%,2026-04-14,2026_2Q
광주 5계 2024-7831(2),오피스텔,광주,광산구,광주 광산구 쌍암동 672-2 첨단타운 5층 508호,"53,000,000","18,996,000",낙찰,"19,500,000",36.8%,2026-03-04,2026_1Q
광주 10계 2024-7886,아파트,광주,광산구,광주 광산구 산월동 885-3 부영그린타운 1105동 1층 101호,"327,000,000","228,900,000",낙찰,"246,970,000",75.5%,2026-01-09,2026_1Q
광주 3계 2024-8056,아파트,광주,북구,광주 북구 양산동 804 마루힐센트럴파크 4층 403호,"125,000,000","35,840,000",낙찰,"125,000,000",100.0%,2026-01-22,2026_1Q
광주 6계 2024-8087(2),근린상가,광주,서구,광주 서구 화정동 12-17 금호월드 6층 46호,"63,600,000","18,236,000",진행,0,0%,2026-03-11,2026_1Q
광주 8계 2024-8117,아파트,광주,서구,광주 서구 광천동 112 삼화 나동 4층 401호,"347,000,000","347,000,000",신건,0,0%,2026-03-12,2026_1Q
광주 12계 2024-8131,아파트,광주,광산구,광주 광산구 소촌동 877 소촌동모아엘가 101동 14층 1401호,"273,000,000","191,100,000",낙찰,"238,894,000",87.5%,2026-01-23,2026_1Q
광주 8계 2024-8230,아파트,광주,남구,광주 남구 봉선동 983 라인하이츠 103동 8층 906호,"277,000,000","155,120,000",진행,0,0%,2026-03-12,2026_1Q
광주 5계 2024-8308,근린상가,광주,북구,"광주 북구 용봉동 17-1 ,17-16,17-21,30-55,30-58,110-14,오치동 457-5 굿모닝타운 7층 701호","386,000,000","138,343,000",예정,0,0%,2026-04-15,2026_2Q
광주 8계 2024-8445,아파트,광주,광산구,광주 광산구 월곡동 681-1 영천마을 주공 915동 19층 1902호,"278,000,000","194,600,000",낙찰,"225,299,999",81.0%,2026-01-29,2026_1Q
광주 2계 2024-8490(1),임야,광주,광산구,광주 광산구 소촌동 산98-110,"4,428,594,000","4,428,594,000",취하,0,0%,2026-02-19,2026_1Q
광주 2계 2024-8490(2),대지,광주,서구,광주 서구 금호동 239-3,"4,208,730,000","4,208,730,000",취하,0,0%,2026-02-19,2026_1Q
광주 8계 2024-8582(1),다가구,광주,북구,광주 북구 오치동 968-3,"1,017,588,340","364,704,000",진행,0,0%,2026-03-12,2026_1Q
광주 8계 2024-8582(2),다가구,광주,북구,광주 북구 오치동 968-32,"1,103,250,240","395,405,000",진행,0,0%,2026-03-12,2026_1Q
광주 13계 2024-8612,오피스텔(주거),광주,광산구,광주 광산구 송정동 929-9 중앙센트럴시티 8층 805호,"159,000,000","111,300,000",예정,0,0%,2026-04-01,2026_2Q
광주 7계 2024-8711,아파트,광주,광산구,광주 광산구 선암동 783 선운지구해광샹그릴라 103동 2층 205호,"305,000,000","213,500,000",낙찰,"232,110,000",76.1%,2026-02-13,2026_1Q
광주 7계 2024-8759,단독주택,광주,광산구,광주 광산구 박호동 370 주1동,"1,835,007,320","657,668,000",예정,0,0%,2026-03-24,2026_1Q
광주 12계 2024-8810,아파트,광주,남구,광주 남구 진월동 499-68 진월동풍림 102동 9층 903호,"214,000,000","149,800,000",낙찰,"188,680,000",88.2%,2026-03-06,2026_1Q
광주 5계 2024-8957,숙박시설,광주,서구,광주 서구 양동 143-2,"747,685,380","267,972,000",예정,0,0%,2026-04-15,2026_2Q
광주 10계 2024-8995,단독주택,광주,북구,광주 북구 망월동 244 1동,"1,106,384,800","495,661,000",예정,0,0%,2026-03-27,2026_1Q
광주 13계 2024-9011,근린상가,광주,서구,광주 서구 화정동 12-17 금호월드 6층 82호,"55,000,000","38,500,000",예정,0,0%,2026-04-01,2026_2Q
광주 9계 2024-9042,공장,광주,광산구,"광주 광산구 연산동 1264 ,1265,1272,1273 주1동","12,339,864,560","6,910,324,000",낙찰,"8,600,000,000",69.7%,2026-01-14,2026_1Q
광주 8계 2024-9103,전,광주,서구,광주 서구 금호동 1072,"769,586,000","769,586,000",신건,0,0%,2026-03-12,2026_1Q
광주 12계 2024-9165,아파트,광주,북구,광주 북구 각화동 608 각화센트럴파크서희스타힐스 101동 2층 201호,"408,000,000","285,600,000",낙찰,"350,110,000",85.8%,2026-03-06,2026_1Q
광주 3계 2024-9219,주상복합(상가),광주,광산구,광주 광산구 신창동 1128-4 정원씨티캐슬 2층 상가201호,"514,000,000","147,375,000",예정,0,0%,2026-04-16,2026_2Q
광주 10계 2024-9240,근린주택,광주,남구,광주 남구 임암동 733,"1,685,260,800","754,998,000",예정,0,0%,2026-03-27,2026_1Q
광주 7계 2024-9264,공장,광주,광산구,광주 광산구 오선동 270-77,"1,823,043,600","1,276,131,000",예정,0,0%,2026-03-24,2026_1Q
광주 10계 2024-9301,아파트,광주,광산구,광주 광산구 쌍암동 676-3 첨단센트럴파크2차 201동 5층 502호,"168,000,000","168,000,000",예정,0,0%,2026-03-27,2026_1Q
광주 13계 2024-9431,주상복합(주거),광주,북구,광주 북구 운암동 940 운암프라자 1동 7층 703호,"125,000,000","87,500,000",예정,0,0%,2026-04-01,2026_2Q
광주 1계 2024-9554,단독주택,광주,남구,광주 남구 봉선동 1116-8,"239,217,290","107,169,345",낙찰,"128,000,000",53.5%,2026-01-07,2026_1Q
광주 10계 2024-61026(1),오피스텔,광주,북구,광주 북구 신안동 134-7 제일 2층 205-3호,"41,000,000","22,960,000",예정,0,0%,2026-03-27,2026_1Q
광주 3계 2024-61507,아파트,광주,남구,광주 남구 지석동 444 일진스위트포레 105동 11층 1101호,"330,000,000","231,000,000",예정,0,0%,2026-04-16,2026_2Q
광주 2계 2024-63114,아파트,광주,북구,"광주 북구 삼각동 533 ,672-4,750-13 삼각그린타운 110동 20층 2006호","160,000,000","112,000,000",취하,0,0%,2026-02-10,2026_1Q
광주 9계 2024-63350(2),다세대,광주,광산구,광주 광산구 쌍암동 676-3 첨단센트럴파크2차 202동 11층 1109호,"202,000,000","32,434,000",예정,0,0%,2026-04-08,2026_2Q
광주 12계 2024-65127(6),근린상가,광주,서구,광주 서구 동천동 627 일군타워 6층 601호,"362,000,000","162,176,000",낙찰,"187,010,000",51.7%,2026-01-23,2026_1Q
광주 5계 2024-66168,아파트,광주,광산구,광주 광산구 흑석동 811 수완센트럴시티서희스타힐스 104동 25층 2504호,"428,000,000","25,736,000",예정,0,0%,2026-04-15,2026_2Q
광주 10계 2024-66724,아파트,광주,광산구,광주 광산구 신창동 876 동도엘림타운 6층 602호,"178,000,000","124,600,000",취하,0,0%,2026-02-25,2026_1Q
광주 11계 2024-67185,오피스텔(주거),광주,북구,광주 북구 신안동 478-5 굿마인트 4층 416호,"44,000,000","3,308,000",예정,0,0%,2026-04-14,2026_2Q
광주 12계 2024-67864,오피스텔(주거),광주,광산구,"광주 광산구 쌍암동 694-106 ,694-105,694-107,694-119 쌍암동미르채리버파크 7층 715호","97,000,000","5,834,000",예상,0,0%,2026-04-17,2026_2Q
광주 8계 2024-69631,아파트,광주,남구,"광주 남구 방림동 62-27 ,466-3,468,469-1 금호맨션 101,102동 20층 2008호","294,000,000","205,800,000",예정,0,0%,2026-04-23,2026_2Q
광주 11계 2024-70044,아파트,광주,서구,광주 서구 금호동 770-1 금부마을 호반리젠시빌 304동 2층 203호,"155,000,000","108,500,000",취하,0,0%,2026-01-22,2026_1Q
광주 1계 2024-70099,아파트,광주,남구,광주 남구 행암동 604 효천남해오네뜨1단지 106동 14층 1401호,"346,000,000","346,000,000",변경,0,0%,2026-01-07,2026_1Q
광주 11계 2024-70471,아파트,광주,동구,광주 동구 계림동 1827 그랜드센트럴 108동 12층 1201호,"285,000,000","21,423,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-71214,대지,광주,남구,광주 남구 서동 112,"35,124,520,000","24,587,164,000",예정,0,0%,2026-04-14,2026_2Q
광주 11계 2024-71559(2),답,광주,광산구,광주 광산구 송학동 92-6,"173,548,000","62,200,000",낙찰,"63,093,000",36.4%,2026-01-20,2026_1Q
광주 11계 2024-71559(3),답,광주,광산구,광주 광산구 송학동 96-8,"104,784,000","37,555,000",낙찰,"39,000,000",37.2%,2026-01-20,2026_1Q
광주 11계 2024-71559(4),답,광주,광산구,광주 광산구 삼도동 13,"140,364,000","62,884,000",낙찰,"62,890,000",44.8%,2026-03-03,2026_1Q
광주 8계 2024-71610,오피스텔(주거),광주,동구,"광주 동구 수기동 89 ,90-1 충장홀리어스 1동 8층 803호","143,000,000","20,993,000",진행,0,0%,2026-03-12,2026_1Q
광주 12계 2024-71771,단독주택,광주,북구,광주 북구 매곡동 61,"906,731,830","406,217,000",예상,0,0%,2026-04-17,2026_2Q
광주 11계 2024-71979,다세대,광주,광산구,"광주 광산구 수완동 189 디프리마수완 1동 1,2,지하층 104호","2,820,000,000","1,579,200,000",유찰,0,0%,2026-01-20,2026_1Q
광주 12계 2024-71993,연립,광주,광산구,"광주 광산구 수완동 189 디프리마수완 1동 1,2,지하1층 105호","2,820,000,000","1,974,000,000",유찰,0,0%,2026-01-23,2026_1Q
광주 12계 2024-72101(2),임야,광주,서구,광주 서구 화정동 산197,"80,265,700","18,412,000",낙찰,0,0%,2026-03-06,2026_1Q
광주 6계 2024-72187(1),연립,광주,광산구,"광주 광산구 수완동 189 디프리마수완 1동 1,2,지하1층 101호","2,660,000,000","953,344,000",진행,0,0%,2026-03-11,2026_1Q
광주 6계 2024-72187(2),연립,광주,광산구,"광주 광산구 수완동 189 디프리마수완 1동 1,2,지하1층 102호","2,660,000,000","953,344,000",진행,0,0%,2026-03-11,2026_1Q
